Type,Category,Name,Module,Description,Parent,Returns,Parameters
Property,Type Classes,oauth2_metadata_url,a2a.types,OAuth2 metadata URL,OAuth2SecurityScheme,,
Property,Type Classes,type,a2a.types,Security scheme type,OAuth2SecurityScheme,,
Class,Request/Response Classes,SendMessageRequest,a2a.types,JSON-RPC request for sending a message,,,
Property,Request/Response Classes,id,a2a.types,Request identifier,SendMessageRequest,,
Property,Request/Response Classes,jsonrpc,a2a.types,JSON-RPC version (must be '2.0'),SendMessageRequest,,
Property,Request/Response Classes,method,a2a.types,Method name ('messages/send'),SendMessageRequest,,
Property,Request/Response Classes,params,a2a.types,Message send parameters,SendMessageRequest,,
Class,Request/Response Classes,SendMessageResponse,a2a.types,Response to a send message request,,,
Property,Request/Response Classes,root,a2a.types,Response root containing result or error,SendMessageResponse,,
Class,Request/Response Classes,SendStreamingMessageRequest,a2a.types,JSON-RPC request for sending a streaming message,,,
Property,Request/Response Classes,id,a2a.types,Request identifier,SendStreamingMessageRequest,,
Property,Request/Response Classes,jsonrpc,a2a.types,JSON-RPC version (must be '2.0'),SendStreamingMessageRequest,,
Property,Request/Response Classes,method,a2a.types,Method name ('messages/stream'),SendStreamingMessageRequest,,
Property,Request/Response Classes,params,a2a.types,Message send parameters,SendStreamingMessageRequest,,
Class,Request/Response Classes,GetTaskRequest,a2a.types,JSON-RPC request for getting task information,,,
Property,Request/Response Classes,id,a2a.types,Request identifier,GetTaskRequest,,
Property,Request/Response Classes,jsonrpc,a2a.types,JSON-RPC version,GetTaskRequest,,
Property,Request/Response Classes,method,a2a.types,Method name ('tasks/get'),GetTaskRequest,,
Property,Request/Response Classes,params,a2a.types,Task query parameters,GetTaskRequest,,
Class,Request/Response Classes,CancelTaskRequest,a2a.types,JSON-RPC request for canceling a task,,,
Property,Request/Response Classes,id,a2a.types,Request identifier,CancelTaskRequest,,
Property,Request/Response Classes,jsonrpc,a2a.types,JSON-RPC version,CancelTaskRequest,,
Property,Request/Response Classes,method,a2a.types,Method name ('tasks/cancel'),CancelTaskRequest,,
Property,Request/Response Classes,params,a2a.types,Task ID parameters,CancelTaskRequest,,
Class,Error Classes,A2AClientError,a2a.client.errors,Base class for A2A client errors,,,
Class,Error Classes,A2AClientHTTPError,a2a.client.errors,HTTP error in A2A client operations,,,
Class,Error Classes,A2AClientJSONError,a2a.client.errors,JSON parsing/validation error in A2A client,,,
Class,Error Classes,A2AClientTimeoutError,a2a.client.errors,Timeout error in A2A client operations,,,
Class,Error Classes,TaskNotFoundError,a2a.types,A2A specific error indicating the requested task ID was not found,,,
Property,Error Classes,code,a2a.types,Error code (-32001),TaskNotFoundError,,
Property,Error Classes,data,a2a.types,Additional error information,TaskNotFoundError,,
Property,Error Classes,message,a2a.types,Error message ('Task not found'),TaskNotFoundError,,
Class,Error Classes,TaskNotCancelableError,a2a.types,A2A specific error indicating the task cannot be canceled,,,
Property,Error Classes,code,a2a.types,Error code (-32002),TaskNotCancelableError,,
Property,Error Classes,data,a2a.types,Additional error information,TaskNotCancelableError,,
Property,Error Classes,message,a2a.types,Error message ('Task cannot be canceled'),TaskNotCancelableError,,
Class,Error Classes,UnsupportedOperationError,a2a.types,A2A specific error indicating the requested operation is not supported,,,
Property,Error Classes,code,a2a.types,Error code (-32004),UnsupportedOperationError,,
Property,Error Classes,data,a2a.types,Additional error information,UnsupportedOperationError,,
Property,Error Classes,message,a2a.types,Error message ('This operation is not supported'),UnsupportedOperationError,,
Function,Utility Functions,create_text_message_object(),a2a.client.helpers,Create a Message object containing a single TextPart,,,"role (Role), content (str)"
Function,Utility Functions,minimal_agent_card(),a2a.client.client_factory,Creates a minimal agent card for testing/development,,,
Function,Utility Functions,new_agent_text_message(),a2a.utils.message,Creates a message object from the agent to the client,,,
Function,Utility Functions,new_agent_parts_message(),a2a.utils.message,Creates a message with multiple parts from agent,,,
Function,Utility Functions,get_message_text(),a2a.utils.message,Extracts text content from a message,,,
Function,Utility Functions,get_text_parts(),a2a.utils.message,Gets text parts from a message,,,
Function,Utility Functions,get_data_parts(),a2a.utils.message,Gets data parts from a message,,,
Function,Utility Functions,get_file_parts(),a2a.utils.message,Gets file parts from a message,,,
Function,Utility Functions,new_artifact(),a2a.utils.artifact,Creates a new artifact,,,
Function,Utility Functions,new_text_artifact(),a2a.utils.artifact,Creates a textual result artifact,,,
Function,Utility Functions,new_data_artifact(),a2a.utils.artifact,Creates a data artifact,,,
Function,Utility Functions,new_task(),a2a.utils.task,Creates a new task object from the initial message,,,
Function,Utility Functions,completed_task(),a2a.utils.task,Creates a completed task object,,,
Function,Utility Functions,append_artifact_to_task(),a2a.utils.helpers,Appends an artifact to a task,,,
Function,Utility Functions,are_modalities_compatible(),a2a.utils.helpers,Checks if input/output modalities are compatible,,,
Function,Utility Functions,build_text_artifact(),a2a.utils.helpers,Builds a text artifact,,,
Function,Utility Functions,create_task_obj(),a2a.utils.helpers,Creates a task object,,,
Function,Utility Functions,validate(),a2a.utils.helpers,Validates data against a schema,,,
Function,Utility Functions,validate_async_generator(),a2a.utils.helpers,Validates an async generator,,,
Function,Extension Functions,find_extension_by_uri(),a2a.extensions.common,Finds an extension by its URI,,,
Function,Extension Functions,get_requested_extensions(),a2a.extensions.common,Gets extensions requested in a call,,,
Class,Event Classes,TaskStatusUpdateEvent,a2a.types,"Event for sending status updates like working, completed",,,
Property,Event Classes,context_id,a2a.types,Context identifier,TaskStatusUpdateEvent,,
Property,Event Classes,final,a2a.types,Whether this is the final status update,TaskStatusUpdateEvent,,
Property,Event Classes,kind,a2a.types,Event kind identifier,TaskStatusUpdateEvent,,
Property,Event Classes,metadata,a2a.types,Event metadata,TaskStatusUpdateEvent,,
Property,Event Classes,status,a2a.types,Task status information,TaskStatusUpdateEvent,,
Property,Event Classes,task_id,a2a.types,Associated task ID,TaskStatusUpdateEvent,,
Class,Event Classes,TaskArtifactUpdateEvent,a2a.types,Event for sending result artifacts back to the client,,,
Property,Event Classes,append,a2a.types,Indicates if this artifact appends to a previous one,TaskArtifactUpdateEvent,,
Property,Event Classes,artifact,a2a.types,Generated artifact,TaskArtifactUpdateEvent,,
Property,Event Classes,context_id,a2a.types,Context identifier,TaskArtifactUpdateEvent,,
Property,Event Classes,kind,a2a.types,Event kind identifier ('artifact-update'),TaskArtifactUpdateEvent,,
Property,Event Classes,last_chunk,a2a.types,Indicates if this is the last chunk of the artifact,TaskArtifactUpdateEvent,,
Property,Event Classes,metadata,a2a.types,Event metadata,TaskArtifactUpdateEvent,,
Property,Event Classes,task_id,a2a.types,Associated task ID,TaskArtifactUpdateEvent,,
Enum,Enumerations,TaskState,a2a.types,Enum that defines task states,,,
Enum Value,Enumerations,auth_required,a2a.types,Authentication required to proceed,TaskState,,
Enum Value,Enumerations,canceled,a2a.types,Task has been canceled,TaskState,,
Enum Value,Enumerations,completed,a2a.types,Task has completed successfully,TaskState,,
Enum Value,Enumerations,failed,a2a.types,Task has failed,TaskState,,
Enum Value,Enumerations,input_required,a2a.types,Additional input required from user,TaskState,,
Enum Value,Enumerations,rejected,a2a.types,Task was rejected,TaskState,,
Enum Value,Enumerations,submitted,a2a.types,Task has been submitted,TaskState,,
Enum Value,Enumerations,unknown,a2a.types,Unknown task state,TaskState,,
Enum Value,Enumerations,working,a2a.types,Task is being processed,TaskState,,
Enum,Enumerations,Role,a2a.types,Message role enumeration,,,
Enum Value,Enumerations,agent,a2a.types,Message from agent,Role,,
Enum Value,Enumerations,user,a2a.types,Message from user,Role,,
Enum,Enumerations,TransportProtocol,a2a.types,Supported transport protocols,,,
Enum Value,Enumerations,grpc,a2a.types,gRPC transport,TransportProtocol,,
Enum Value,Enumerations,http_json,a2a.types,HTTP JSON transport,TransportProtocol,,
Enum Value,Enumerations,jsonrpc,a2a.types,JSON-RPC transport,TransportProtocol,,
Enum,Enumerations,In,a2a.types,API key location enumeration,,,
Enum Value,Enumerations,cookie,a2a.types,API key in cookie,In,,
Enum Value,Enumerations,header,a2a.types,API key in header,In,,
Enum Value,Enumerations,query,a2a.types,API key in query parameter,In,,
